,Dim 1,Dim 2,time,wo,wt,time1,weight
0hhc1,-0.131366535,-0.124515329,0.000001,29.17,50.06,0,20.89
0hhc2,-0.314337272,-0.103131669,0.000001,20.04,27.63,0,7.59
0hhc3,-0.338907748,-0.079568065,0.000001,21.28,34.96,0,13.68
0hhc4,-0.235064182,-0.168361584,0.000001,28.83,37.75,0,8.92
0hhc5,-0.33690315,-0.072362665,0.000001,39.35,66.86,0,27.51
0hhc7,-0.321932584,-0.105760859,0.000001,25.81,42.34,0,16.53
3hhc1,-0.291741919,-0.17878499,3,22.48,35.93,0,13.45
3hhc2,-0.269505298,-0.189151886,3,23.13,37.25,0,14.12
3hhc3,-0.19671329,-0.223890367,3,23.01,36.18,0,13.17
3hhc4,-0.12272814,-0.256134469,3,28.96,47.85,0,18.89
3hhc5,-0.217987352,-0.121021699,3,22.51,36.32,0,13.81
3hhc6,0.13465739,-0.302679644,3,25.63,38.71,0,13.08
6hhc1,-0.155050294,-0.198435415,6,33.45,56.36,0,22.91
6hhc2,-0.32741241,-0.091174872,6,34.45,52.48,0,18.03
6hhc3,-0.323940707,-0.07229922,6,24.07,37.54,0,13.47
6hhc4,-0.283633294,0.097207693,6,29.81,55.48,0,25.67
6hhc5,-0.299137943,-0.017106837,6,21.64,30.3,0,8.66
6hhc6,-0.338012732,-0.056378997,6,26.54,43.48,0,16.94
9hhc1,-0.154506431,0.198387011,9,24.89,37.68,0,12.79
9hhc2,-0.309072264,0.06789718,9,20.24,30.4,0,10.16
9hhc3,-0.102631307,0.496068377,9,22.55,34.3,0,11.75
9hhc4,-0.016249853,-0.014619747,9,25.18,36.84,0,11.66
9hhc5,-0.149304884,0.077421507,9,26.58,37.96,0,11.38
9hhc6,-0.321567051,-0.055361195,9,28.54,40.65,0,12.11
12hhc1,-0.178023568,0.07905301,12,26.69,38.68,0,11.99
12hhc2,-0.216573578,0.344572673,12,29.4,50.98,0,21.58
12hhc3,-0.071772836,-0.023528126,12,24.72,36.78,0,12.06
12hhc4,-0.219679662,0.090220242,12,22.07,36.16,0,14.09
12hhc5,0.010879823,0.345963673,12,27.77,43.98,0,16.21
12hhc6,0.125403906,-0.05469585,12,22.12,32.22,0,10.1
24hhc1,-0.21691827,0.42770321,24,27.76,38.54,0,10.78
24hhc2,0.152063726,0.145459805,24,34.79,52.25,0,17.46
24hhc3,0.225940618,0.38321603,24,27.9,41.58,0,13.68
24hhc4,0.447883236,0.033389206,24,23.82,35.63,0,11.81
24hhc5,0.184421136,0.000454215,24,25.28,36.68,0,11.4
24hhc6,0.494120821,0.173962235,24,21.52,27.67,0,6.15
48hhc1,0.43026315,-0.238020293,48,23.46,31.74,1,8.28
48hhc2,0.494939598,0.283696806,48,22.44,30.68,1,8.24
48hhc3,-0.093461147,0.239177815,48,25.99,41.03,1,15.04
48hhc4,0.430539399,0.103303934,48,39.71,48.72,1,9.01
48hhc5,0.239593368,-0.108712075,48,35.09,65.76,1,30.67
48hhc6,0.402877981,-0.16527295,48,21.87,29.52,1,7.65
72hhc1,0.242470145,0.078149845,72,30.31,53.98,1,23.67
72hhc2,0.480212343,-0.199030066,72,20.21,35.99,1,15.78
72hhc3,0.434469081,-0.225770483,72,38.37,72.36,1,33.99
72hhc4,0.553762289,-0.020748175,72,30.91,50.68,1,19.77
72hhc5,0.489868243,-0.049076631,72,35.09,63.62,1,28.53
72hhc6,0.579769447,-0.14971031,72,32.87,59.38,1,26.51