Taxonomy,SampleID,value,time
Alphaproteobacteria,CKmc1,1,CK
Alphaproteobacteria,CKmc2,6,CK
Alphaproteobacteria,CKmc3,84,CK
Alphaproteobacteria,CKmc4,0,CK
Alphaproteobacteria,CKmc5,13,CK
Alphaproteobacteria,CKmc6,0,CK
Alphaproteobacteria,0hmc1,0,0
Alphaproteobacteria,0hmc2,0,0
Alphaproteobacteria,0hmc3,0,0
Alphaproteobacteria,0hmc4,0,0
Alphaproteobacteria,0hmc5,0,0
Alphaproteobacteria,0hmc7,0,0
Alphaproteobacteria,3hmc1,0,3
Alphaproteobacteria,3hmc2,3,3
Alphaproteobacteria,3hmc3,0,3
Alphaproteobacteria,3hmc4,0,3
Alphaproteobacteria,3hmc5,0,3
Alphaproteobacteria,3hmc6,0,3
Alphaproteobacteria,6hmc1,2,6
Alphaproteobacteria,6hmc2,0,6
Alphaproteobacteria,6hmc3,0,6
Alphaproteobacteria,6hmc4,0,6
Alphaproteobacteria,6hmc5,0,6
Alphaproteobacteria,6hmc6,0,6
Alphaproteobacteria,9hmc1,0,6
Alphaproteobacteria,9hmc2,0,6
Alphaproteobacteria,9hmc3,0,6
Alphaproteobacteria,9hmc4,0,6
Alphaproteobacteria,9hmc5,0,6
Alphaproteobacteria,9hmc6,0,6
Alphaproteobacteria,12hmc1,0,12
Alphaproteobacteria,12hmc2,1,12
Alphaproteobacteria,12hmc3,0,12
Alphaproteobacteria,12hmc4,0,12
Alphaproteobacteria,12hmc5,0,12
Alphaproteobacteria,12hmc6,0,12
Alphaproteobacteria,24hmc1,2,24
Alphaproteobacteria,24hmc2,5,24
Alphaproteobacteria,24hmc3,0,24
Alphaproteobacteria,24hmc4,0,24
Alphaproteobacteria,24hmc5,1,24
Alphaproteobacteria,24hmc6,0,24
Alphaproteobacteria,48hmc1,0,48
Alphaproteobacteria,48hmc2,5,48
Alphaproteobacteria,48hmc3,10,48
Alphaproteobacteria,48hmc4,3,48
Alphaproteobacteria,48hmc5,11,48
Alphaproteobacteria,48hmc6,7,48
Alphaproteobacteria,72hmc1,5,72
Alphaproteobacteria,72hmc2,6,72
Alphaproteobacteria,72hmc3,2,72
Alphaproteobacteria,72hmc4,4,72
Alphaproteobacteria,72hmc5,2,72
Alphaproteobacteria,72hmc6,1,72