tSNE1,tSNE2,SampleID,tissue,time,group,time1
25.91202676,-16.56489812,CKhc1,HC,CK,CK_hc,CK
26.74489445,-21.23431997,CKhc2,HC,CK,CK_hc,CK
29.32272598,-18.42512327,CKhc3,HC,CK,CK_hc,CK
21.95663221,-15.96945846,CKhc4,HC,CK,CK_hc,CK
23.13410043,-19.5816583,CKhc5,HC,CK,CK_hc,CK
9.700399364,-7.97390128,CKhc6,HC,CK,CK_hc,CK
-33.91755577,-3.072467493,0hhc1,HC,0h,0h_hc,0.001
-24.10735533,-1.885199967,0hhc2,HC,0h,0h_hc,0.001
-16.34460392,1.422297228,0hhc3,HC,0h,0h_hc,0.001
-31.66245163,1.210282261,0hhc4,HC,0h,0h_hc,0.001
-26.76974765,2.144214289,0hhc5,HC,0h,0h_hc,0.001
-29.9257892,-5.855515196,0hhc7,HC,0h,0h_hc,0.001
-8.086000847,-18.62090257,3hhc1,HC,3h,3h_hc,3
-6.058044119,-7.158026526,3hhc2,HC,3h,3h_hc,3
-25.47186837,-6.506383667,3hhc3,HC,3h,3h_hc,3
-11.60908448,0.005878583,3hhc4,HC,3h,3h_hc,3
-21.03110598,1.391996059,3hhc5,HC,3h,3h_hc,3
-21.06639096,5.857140212,3hhc6,HC,3h,3h_hc,3
-9.827841155,-3.705743759,6hhc1,HC,6h,6h_hc,6
-18.75340451,-7.486390376,6hhc2,HC,6h,6h_hc,6
-18.76176633,-2.368121717,6hhc3,HC,6h,6h_hc,6
-27.33471606,-11.60517102,6hhc4,HC,6h,6h_hc,6
-0.368852439,8.386040881,6hhc5,HC,6h,6h_hc,6
-28.23414502,-1.904581108,6hhc6,HC,6h,6h_hc,6
3.445634097,-12.7912841,9hhc1,HC,9h,9h_hc,9
-13.37916951,-8.409313552,9hhc2,HC,9h,9h_hc,9
19.26846218,-1.814861487,9hhc3,HC,9h,9h_hc,9
12.52968229,-3.768992222,9hhc4,HC,9h,9h_hc,9
5.747889348,-7.082172569,9hhc5,HC,9h,9h_hc,9
-0.873501108,-5.450845172,9hhc6,HC,9h,9h_hc,9
20.69115135,8.03524294,12hhc1,HC,12h,12h_hc,12
18.66940317,16.70779461,12hhc2,HC,12h,12h_hc,12
13.53710084,13.8099106,12hhc3,HC,12h,12h_hc,12
15.37438342,2.168339143,12hhc4,HC,12h,12h_hc,12
3.017003983,16.88091137,12hhc5,HC,12h,12h_hc,12
11.80075189,7.64365997,12hhc6,HC,12h,12h_hc,12
26.27727506,17.94742914,24hhc1,HC,24h,24h_hc,24
-6.903228736,1.142062296,24hhc2,HC,24h,24h_hc,24
14.44316262,25.70324233,24hhc3,HC,24h,24h_hc,24
10.68877755,18.62127712,24hhc4,HC,24h,24h_hc,24
21.97894016,17.3657992,24hhc5,HC,24h,24h_hc,24
8.082899119,24.92118973,24hhc6,HC,24h,24h_hc,24
1.608892494,-16.12823344,48hhc1,HC,48h,48h_hc,48
11.8446646,21.80300896,48hhc2,HC,48h,48h_hc,48
-14.45222777,-3.452371462,48hhc3,HC,48h,48h_hc,48
7.955700725,0.002437855,48hhc4,HC,48h,48h_hc,48
6.978514737,11.81542039,48hhc5,HC,48h,48h_hc,48
8.742083849,5.088325738,48hhc6,HC,48h,48h_hc,48
-1.679809367,-11.7983177,72hhc1,HC,72h,72h_hc,72
3.72974177,-0.863803865,72hhc2,HC,72h,72h_hc,72
3.160587926,5.153667763,72hhc3,HC,72h,72h_hc,72
-4.64479191,-2.296234037,72hhc4,HC,72h,72h_hc,72
-0.90945229,0.04017175,72hhc5,HC,72h,72h_hc,72
15.82942208,8.506551988,72hhc6,HC,72h,72h_hc,72