"","48hqc1","48hqc2","48hqc3","48hqc4","48hqc5","48hqc6"
"ASV_58",3,0,0,0,0,0
"ASV_78",8,1,1,2,0,1
"ASV_106",3,1,1,9,7,0
"ASV_108",2,0,9,1,0,1
"ASV_152",1,0,2,0,2,11
"ASV_161",1,0,0,0,0,0
"ASV_185",22,0,0,0,13,0
"ASV_201",6,0,0,1,0,3
"ASV_211",3,0,0,0,0,0
"ASV_213",1,0,0,0,0,0
"ASV_236",9,0,0,0,0,0
"ASV_256",1,0,0,0,0,0
"ASV_261",1,0,0,0,0,3
"ASV_263",12,7,0,0,0,10
"ASV_282",1,0,0,0,1,4
"ASV_291",3,0,1,0,0,1
"ASV_297",3,3,0,0,0,0
"ASV_317",1,1,0,0,0,1
"ASV_320",2,0,0,0,0,0
"ASV_327",2,0,0,0,4,1
"ASV_336",9,0,1,0,3,0
"ASV_341",7,3,0,0,0,14
"ASV_352",3,0,0,0,0,0
"ASV_365",1,0,0,0,0,0
"ASV_368",3,0,0,0,0,1
"ASV_382",3,0,0,0,0,0
"ASV_418",3,0,0,0,0,0
"ASV_454",2,0,0,1,0,0
"ASV_466",27,0,0,0,0,0
"ASV_547",1,0,0,1,0,0
"ASV_550",71,12,90,0,60,7
"ASV_575",2,0,0,0,0,0
"ASV_594",1,0,0,4,2,0
"ASV_629",3,0,0,0,0,0
"ASV_670",2,0,0,1,0,0
"ASV_712",1,0,0,0,0,0
"ASV_729",1,0,0,0,0,0
"ASV_749",2,0,0,0,0,33
"ASV_760",4,0,0,0,2,12
"ASV_779",1,0,0,0,0,0
"ASV_801",1,1,0,0,0,0
"ASV_858",5,3,13,0,0,2
"ASV_895",1,0,0,0,0,0
"ASV_942",28,0,3,0,0,0
"ASV_948",1,0,0,0,0,0
"ASV_983",1,0,0,0,1,0
"ASV_1010",1,0,0,0,0,0
"ASV_1017",2,1,0,0,0,0
"ASV_1062",2,0,0,0,2,0
"ASV_1073",1,0,0,0,0,0
"ASV_1167",1,0,0,0,0,0
"ASV_1187",6,0,0,0,0,0
"ASV_1213",1,0,1,0,0,0
"ASV_1375",1,0,0,0,0,0
"ASV_1448",2,0,0,0,0,0
"ASV_1504",7,0,0,0,1,0
"ASV_1517",25,0,0,0,0,0
"ASV_1577",1,0,0,0,0,0
"ASV_1590",1,0,0,0,0,0
"ASV_1707",1,0,0,0,0,0
"ASV_1725",1,0,0,0,0,1
"ASV_1842",1,0,8,2,0,8
"ASV_1867",6,10,7,0,14,0
"ASV_1879",1,0,8,0,0,0
"ASV_2041",3,1,0,0,5,0
"ASV_2063",1,0,2,0,0,0
"ASV_2089",8,0,0,0,1,0
"ASV_2122",2,0,1,1,0,1
"ASV_2136",1,0,0,0,0,1
"ASV_2442",3,0,0,0,0,0
"ASV_2505",2,0,0,0,0,0
"ASV_2529",8,0,0,0,0,0
"ASV_2561",2,0,3,0,0,0
"ASV_2671",2,0,0,0,0,0
"ASV_2731",1,0,0,0,0,0
"ASV_2831",10,0,0,0,0,0
"ASV_2844",1,0,0,0,0,0
"ASV_3026",1,0,0,0,0,0
"ASV_3126",1,0,0,0,0,0
"ASV_3155",1,0,0,0,2,0
"ASV_3220",14,0,1,1,0,0
"ASV_3380",46,2,0,1,0,1
"ASV_3401",1,0,0,0,0,0
"ASV_3425",1,0,2,0,0,6
"ASV_3459",2,0,10,0,0,0
"ASV_3473",1,0,0,0,0,0
"ASV_3700",1,0,0,0,0,0
"ASV_3804",1,0,0,0,0,0
"ASV_3979",1,0,0,0,0,0
"ASV_4451",6,2,0,0,0,0
"ASV_4600",1,0,0,0,0,0
"ASV_4725",1,0,0,0,0,0
"ASV_4735",2,0,0,0,7,0
"ASV_4886",25,0,0,0,13,0
"ASV_4902",1,0,0,0,0,0
"ASV_4954",8,2,1,0,0,0
"ASV_4972",1,0,0,1,0,0
"ASV_4998",1,0,0,0,0,0
"ASV_5116",1,0,0,0,0,0
"ASV_5486",1,0,1,2,1,9
"ASV_5512",1,0,0,0,0,0
"ASV_5593",2,0,0,0,0,0
"ASV_5676",2,0,0,0,0,0
"ASV_49",0,2,0,0,0,0
"ASV_138",0,2,0,0,0,0
"ASV_140",0,1,0,0,0,2
"ASV_150",0,1,0,0,0,3
"ASV_156",0,1,0,0,0,0
"ASV_159",0,2,1,0,0,0
"ASV_193",0,2,0,0,0,0
"ASV_224",0,1,0,0,0,0
"ASV_241",0,2,0,0,0,0
"ASV_284",0,1,0,0,0,0
"ASV_363",0,1,0,0,0,0
"ASV_375",0,4,0,0,0,0
"ASV_403",0,3,0,0,0,0
"ASV_419",0,2,0,0,0,0
"ASV_426",0,1,0,0,0,0
"ASV_485",0,1,0,0,0,0
"ASV_486",0,1,0,0,0,0
"ASV_540",0,1,0,1,0,0
"ASV_564",0,1,0,0,0,5
"ASV_567",0,2,2,0,0,0
"ASV_651",0,3,0,0,0,0
"ASV_688",0,2,1,0,0,1
"ASV_733",0,1,0,0,0,0
"ASV_785",0,1,0,0,0,0
"ASV_793",0,1,0,0,0,0
"ASV_797",0,2,1,0,0,0
"ASV_989",0,1,0,0,0,0
"ASV_1164",0,1,0,0,0,0
"ASV_1290",0,6,0,0,0,0
"ASV_1301",0,1,0,0,0,0
"ASV_1385",0,1,9,0,0,3
"ASV_1432",0,3,2,0,0,0
"ASV_1650",0,3,0,0,0,0
"ASV_1739",0,3,0,0,0,0
"ASV_1966",0,1,0,0,0,0
"ASV_2020",0,8,0,0,0,0
"ASV_2307",0,1,0,0,0,0
"ASV_2453",0,1,0,0,0,0
"ASV_2719",0,1,0,0,0,0
"ASV_3024",0,4,0,0,0,0
"ASV_3504",0,1,0,0,0,0
"ASV_4012",0,1,0,0,2,0
"ASV_4373",0,2,0,0,0,0
"ASV_4546",0,2,0,0,0,0
"ASV_4859",0,2,0,0,0,0
"ASV_4951",0,1,0,0,0,0
"ASV_5496",0,1,0,0,0,0
"ASV_9",0,0,46,1,0,6
"ASV_122",0,0,2,0,0,0
"ASV_126",0,0,1,0,0,0
"ASV_145",0,0,9,0,0,0
"ASV_192",0,0,2,0,0,0
"ASV_198",0,0,2,6,1,0
"ASV_234",0,0,1,0,360,1
"ASV_298",0,0,1,0,0,2
"ASV_406",0,0,1,0,0,0
"ASV_431",0,0,1,0,0,0
"ASV_488",0,0,3,0,0,0
"ASV_533",0,0,1,0,0,0
"ASV_576",0,0,1,0,0,0
"ASV_593",0,0,2,0,0,0
"ASV_606",0,0,13,0,0,0
"ASV_737",0,0,1,0,0,0
"ASV_862",0,0,4,0,0,0
"ASV_871",0,0,2,0,0,0
"ASV_968",0,0,33,4,1,10
"ASV_1158",0,0,10,0,0,0
"ASV_1332",0,0,1,0,5,0
"ASV_1393",0,0,7,0,0,0
"ASV_1450",0,0,2,0,0,0
"ASV_1613",0,0,1,0,0,0
"ASV_1638",0,0,1,0,0,1
"ASV_1734",0,0,1,0,0,0
"ASV_1848",0,0,7,0,1,0
"ASV_2034",0,0,4,0,0,0
"ASV_2091",0,0,3,0,0,0
"ASV_2239",0,0,3,0,0,0
"ASV_2255",0,0,2,0,0,2
"ASV_2466",0,0,2,0,0,0
"ASV_2518",0,0,3,0,0,0
"ASV_2607",0,0,1,0,0,0
"ASV_3185",0,0,2,0,0,0
"ASV_3436",0,0,1,0,0,0
"ASV_3826",0,0,1,0,58,1
"ASV_3899",0,0,3,0,0,0
"ASV_4258",0,0,1,0,0,0
"ASV_4264",0,0,14,0,0,0
"ASV_4393",0,0,8,0,0,0
"ASV_4577",0,0,6,0,0,0
"ASV_4615",0,0,8,0,0,0
"ASV_4789",0,0,1,0,0,0
"ASV_4804",0,0,1,0,0,0
"ASV_4867",0,0,3,0,0,0
"ASV_5073",0,0,1,0,0,0
"ASV_5074",0,0,1,0,0,1
"ASV_5175",0,0,4,0,0,0
"ASV_5305",0,0,1,0,0,0
"ASV_5330",0,0,1,0,0,0
"ASV_5457",0,0,1,0,0,0
"ASV_5665",0,0,1,0,1,1
"ASV_5684",0,0,5,0,0,0
"ASV_5711",0,0,1,0,0,0
"ASV_30",0,0,0,3,0,0
"ASV_85",0,0,0,1,0,0
"ASV_109",0,0,0,2,1,3
"ASV_135",0,0,0,2,0,0
"ASV_157",0,0,0,1,0,0
"ASV_181",0,0,0,1,0,0
"ASV_199",0,0,0,1,0,0
"ASV_209",0,0,0,1,0,0
"ASV_212",0,0,0,2,0,0
"ASV_225",0,0,0,1,0,4
"ASV_275",0,0,0,1,0,0
"ASV_389",0,0,0,1,3,3
"ASV_432",0,0,0,2,0,0
"ASV_440",0,0,0,1,0,0
"ASV_445",0,0,0,1,0,0
"ASV_499",0,0,0,1,0,0
"ASV_500",0,0,0,1,0,0
"ASV_509",0,0,0,1,0,0
"ASV_597",0,0,0,1,0,0
"ASV_608",0,0,0,1,0,0
"ASV_730",0,0,0,1,0,0
"ASV_731",0,0,0,4,0,0
"ASV_761",0,0,0,3,0,3
"ASV_808",0,0,0,1,0,0
"ASV_811",0,0,0,1,0,0
"ASV_1022",0,0,0,2,0,0
"ASV_1064",0,0,0,1,3,0
"ASV_1110",0,0,0,3,0,0
"ASV_1263",0,0,0,2,2,0
"ASV_1377",0,0,0,2,0,5
"ASV_1459",0,0,0,1,0,0
"ASV_1522",0,0,0,1,0,0
"ASV_1625",0,0,0,1,0,0
"ASV_1690",0,0,0,1,0,0
"ASV_2197",0,0,0,2,0,0
"ASV_2619",0,0,0,1,0,0
"ASV_2802",0,0,0,1,0,0
"ASV_3022",0,0,0,2,2,0
"ASV_3634",0,0,0,1,0,0
"ASV_3643",0,0,0,2,0,0
"ASV_4066",0,0,0,1,0,0
"ASV_4254",0,0,0,1,0,0
"ASV_4539",0,0,0,2,0,0
"ASV_4556",0,0,0,1,0,0
"ASV_4926",0,0,0,1,0,0
"ASV_5199",0,0,0,1,0,0
"ASV_5584",0,0,0,1,0,0
"ASV_5613",0,0,0,3,0,3
"ASV_43",0,0,0,0,1,0
"ASV_45",0,0,0,0,3,0
"ASV_60",0,0,0,0,1,0
"ASV_66",0,0,0,0,1,0
"ASV_107",0,0,0,0,9,1
"ASV_175",0,0,0,0,1,0
"ASV_262",0,0,0,0,1,0
"ASV_304",0,0,0,0,12,0
"ASV_384",0,0,0,0,22,0
"ASV_420",0,0,0,0,1,0
"ASV_429",0,0,0,0,22,0
"ASV_457",0,0,0,0,5,2
"ASV_498",0,0,0,0,1,0
"ASV_512",0,0,0,0,15,0
"ASV_541",0,0,0,0,1,0
"ASV_555",0,0,0,0,2,0
"ASV_570",0,0,0,0,2,0
"ASV_612",0,0,0,0,3,1
"ASV_686",0,0,0,0,5,0
"ASV_714",0,0,0,0,14,0
"ASV_742",0,0,0,0,5,0
"ASV_776",0,0,0,0,37,0
"ASV_819",0,0,0,0,9,0
"ASV_834",0,0,0,0,8,0
"ASV_904",0,0,0,0,5,0
"ASV_930",0,0,0,0,1,1
"ASV_1141",0,0,0,0,2,0
"ASV_1242",0,0,0,0,26,1
"ASV_1364",0,0,0,0,1,1
"ASV_1433",0,0,0,0,1,0
"ASV_1451",0,0,0,0,3,0
"ASV_1530",0,0,0,0,2,0
"ASV_1568",0,0,0,0,1,1
"ASV_1666",0,0,0,0,5,2
"ASV_1789",0,0,0,0,1,0
"ASV_1804",0,0,0,0,1,0
"ASV_1827",0,0,0,0,1,0
"ASV_1853",0,0,0,0,1,0
"ASV_2138",0,0,0,0,1,0
"ASV_2181",0,0,0,0,2,0
"ASV_2258",0,0,0,0,1,0
"ASV_2275",0,0,0,0,18,0
"ASV_2675",0,0,0,0,1,0
"ASV_2849",0,0,0,0,2,0
"ASV_3059",0,0,0,0,1,1
"ASV_3095",0,0,0,0,1,0
"ASV_3118",0,0,0,0,2,0
"ASV_3214",0,0,0,0,2,0
"ASV_3369",0,0,0,0,1,0
"ASV_3530",0,0,0,0,2,0
"ASV_3820",0,0,0,0,1,0
"ASV_3944",0,0,0,0,1,0
"ASV_3993",0,0,0,0,7,0
"ASV_4062",0,0,0,0,1,0
"ASV_4390",0,0,0,0,3,0
"ASV_4490",0,0,0,0,1,0
"ASV_4540",0,0,0,0,1,0
"ASV_4545",0,0,0,0,1,0
"ASV_4574",0,0,0,0,2,0
"ASV_4679",0,0,0,0,1,0
"ASV_5084",0,0,0,0,1,0
"ASV_5268",0,0,0,0,1,0
"ASV_5476",0,0,0,0,2,0
"ASV_5525",0,0,0,0,1,0
"ASV_5558",0,0,0,0,4,1
"ASV_5637",0,0,0,0,2,0
"ASV_5674",0,0,0,0,3,0
"ASV_5692",0,0,0,0,1,0
"ASV_20",0,0,0,0,0,3
"ASV_50",0,0,0,0,0,1
"ASV_110",0,0,0,0,0,1
"ASV_136",0,0,0,0,0,4
"ASV_208",0,0,0,0,0,5
"ASV_239",0,0,0,0,0,1
"ASV_242",0,0,0,0,0,8
"ASV_249",0,0,0,0,0,1
"ASV_259",0,0,0,0,0,1
"ASV_260",0,0,0,0,0,6
"ASV_280",0,0,0,0,0,4
"ASV_306",0,0,0,0,0,3
"ASV_309",0,0,0,0,0,1
"ASV_334",0,0,0,0,0,2
"ASV_350",0,0,0,0,0,1
"ASV_361",0,0,0,0,0,6
"ASV_379",0,0,0,0,0,1
"ASV_467",0,0,0,0,0,3
"ASV_503",0,0,0,0,0,4
"ASV_504",0,0,0,0,0,3
"ASV_589",0,0,0,0,0,1
"ASV_610",0,0,0,0,0,3
"ASV_650",0,0,0,0,0,1
"ASV_667",0,0,0,0,0,1
"ASV_683",0,0,0,0,0,2
"ASV_767",0,0,0,0,0,1
"ASV_772",0,0,0,0,0,1
"ASV_790",0,0,0,0,0,1
"ASV_916",0,0,0,0,0,5
"ASV_928",0,0,0,0,0,5
"ASV_953",0,0,0,0,0,2
"ASV_994",0,0,0,0,0,1
"ASV_1047",0,0,0,0,0,1
"ASV_1070",0,0,0,0,0,3
"ASV_1078",0,0,0,0,0,6
"ASV_1162",0,0,0,0,0,2
"ASV_1446",0,0,0,0,0,2
"ASV_1487",0,0,0,0,0,1
"ASV_1511",0,0,0,0,0,1
"ASV_1554",0,0,0,0,0,3
"ASV_1565",0,0,0,0,0,1
"ASV_1642",0,0,0,0,0,1
"ASV_1737",0,0,0,0,0,1
"ASV_1775",0,0,0,0,0,6
"ASV_1926",0,0,0,0,0,2
"ASV_1932",0,0,0,0,0,3
"ASV_1949",0,0,0,0,0,1
"ASV_1963",0,0,0,0,0,3
"ASV_1998",0,0,0,0,0,1
"ASV_1999",0,0,0,0,0,1
"ASV_2058",0,0,0,0,0,2
"ASV_2080",0,0,0,0,0,1
"ASV_2155",0,0,0,0,0,1
"ASV_2347",0,0,0,0,0,5
"ASV_2367",0,0,0,0,0,2
"ASV_2399",0,0,0,0,0,1
"ASV_2404",0,0,0,0,0,1
"ASV_2454",0,0,0,0,0,1
"ASV_2481",0,0,0,0,0,2
"ASV_2651",0,0,0,0,0,4
"ASV_2676",0,0,0,0,0,1
"ASV_2990",0,0,0,0,0,1
"ASV_3233",0,0,0,0,0,1
"ASV_3729",0,0,0,0,0,1
"ASV_3965",0,0,0,0,0,1
"ASV_4026",0,0,0,0,0,2
"ASV_4064",0,0,0,0,0,1
"ASV_4213",0,0,0,0,0,3
"ASV_4308",0,0,0,0,0,3
"ASV_4449",0,0,0,0,0,3
"ASV_4482",0,0,0,0,0,1
"ASV_4529",0,0,0,0,0,2
"ASV_4738",0,0,0,0,0,1
"ASV_4827",0,0,0,0,0,1
"ASV_5003",0,0,0,0,0,1
"ASV_5163",0,0,0,0,0,1
"ASV_5177",0,0,0,0,0,1
"ASV_5370",0,0,0,0,0,1
"ASV_5727",0,0,0,0,0,1
