"","48hhc1","48hhc2","48hhc3","48hhc4","48hhc5","48hhc6"
"ASV_64",2,1,2,0,1,2
"ASV_98",1,14,5,2,1,2
"ASV_104",1,1,0,0,0,0
"ASV_109",1,0,0,2,2,1
"ASV_110",1,0,0,0,3,0
"ASV_113",2,0,0,0,3,0
"ASV_123",1,14,0,1,5,2
"ASV_152",1,0,0,13,1,4
"ASV_158",2,0,1,14,1,9
"ASV_191",7,0,8,0,0,1
"ASV_201",4,0,1,11,1,8
"ASV_203",1,5,0,0,0,0
"ASV_216",1,1,0,0,1,9
"ASV_224",2,23,5,9,0,5
"ASV_235",4,0,4,0,0,2
"ASV_260",1,1,1,8,2,2
"ASV_273",1,0,0,0,0,0
"ASV_291",1,0,0,2,0,0
"ASV_331",2,1,1,5,2,6
"ASV_336",1,0,0,0,5,0
"ASV_341",2,5,0,2,0,56
"ASV_352",2,6,0,0,0,2
"ASV_361",1,0,0,2,0,1
"ASV_365",2,0,0,0,0,0
"ASV_375",1,610,1,3,8,257
"ASV_432",2,1,0,0,1,0
"ASV_440",1,0,0,0,0,0
"ASV_446",1,0,0,0,0,0
"ASV_459",1,0,0,0,0,0
"ASV_466",60,0,0,3,0,1
"ASV_467",1,0,0,5,0,1
"ASV_549",1,0,0,0,0,0
"ASV_550",6,3,2,0,41,1
"ASV_555",3,0,0,2,3,1
"ASV_558",1,8,1,0,0,0
"ASV_573",1,1,0,0,0,0
"ASV_588",1,31,0,1,0,0
"ASV_597",1,0,0,0,0,0
"ASV_617",1,16,0,4,0,2
"ASV_634",1,14,0,0,0,0
"ASV_681",1,0,0,1,0,13
"ASV_715",1,0,0,1,0,1
"ASV_729",1,0,0,0,1,0
"ASV_740",2,0,1,0,0,0
"ASV_761",1,0,0,4,0,5
"ASV_783",1,0,0,0,0,1
"ASV_790",1,0,0,0,0,0
"ASV_818",1,0,0,0,0,1
"ASV_840",2,0,0,0,0,0
"ASV_860",1,0,0,0,0,0
"ASV_909",2,0,0,0,0,0
"ASV_933",1,0,1,0,0,1
"ASV_942",1,1,0,0,0,0
"ASV_948",1,4,0,0,0,0
"ASV_994",1,0,0,0,0,0
"ASV_1075",1,0,0,0,0,0
"ASV_1087",1,6,0,0,0,1
"ASV_1107",2,0,0,0,0,0
"ASV_1158",2,14,0,0,1,2
"ASV_1194",7,1,0,10,0,1
"ASV_1200",1,1,0,0,0,0
"ASV_1213",7,22,0,1,0,36
"ASV_1304",1,0,0,0,0,0
"ASV_1326",2,0,0,5,2,2
"ASV_1329",3,0,0,0,0,0
"ASV_1504",15,1,0,0,2,0
"ASV_1517",1,0,0,0,0,0
"ASV_1583",1,8,0,0,0,0
"ASV_1702",1,0,0,0,0,0
"ASV_1709",1,0,0,0,0,3
"ASV_1721",2,0,0,0,0,0
"ASV_1734",1,1,0,0,0,0
"ASV_1796",2,0,0,0,0,0
"ASV_1797",1,0,0,0,0,0
"ASV_1867",3,0,0,0,3,0
"ASV_1919",8,3,0,0,0,0
"ASV_1975",1,0,0,0,0,0
"ASV_1998",2,6,0,0,0,1
"ASV_2052",1,0,0,0,0,2
"ASV_2089",1,0,0,0,1,0
"ASV_2151",2,0,0,0,2,0
"ASV_2162",1,0,1,0,0,2
"ASV_2182",1,0,0,0,0,0
"ASV_2190",1,0,0,0,0,0
"ASV_2362",1,0,0,0,2,0
"ASV_2420",13,0,0,2,1,0
"ASV_2440",1,1,0,0,0,0
"ASV_2521",1,0,0,0,0,1
"ASV_2559",7,6,0,9,0,0
"ASV_2627",1,0,0,0,0,1
"ASV_2669",2,0,0,0,0,1
"ASV_2696",1,0,0,0,0,0
"ASV_2780",3,0,0,12,5,4
"ASV_2795",1,0,0,0,0,0
"ASV_2822",1,0,0,0,0,0
"ASV_2992",4,0,0,0,0,2
"ASV_3042",2,0,0,0,0,1
"ASV_3051",1,0,0,0,0,0
"ASV_3121",1,0,0,0,0,0
"ASV_3126",6,0,0,1,0,1
"ASV_3151",2,0,0,0,0,0
"ASV_3156",1,0,0,0,0,0
"ASV_3200",1,1,0,0,0,0
"ASV_3220",1,1,0,0,0,0
"ASV_3297",1,1,0,0,2,0
"ASV_3303",1,0,0,0,0,0
"ASV_3318",1,0,0,0,0,0
"ASV_3380",9,4,0,0,2,1
"ASV_3445",2,1,0,0,0,0
"ASV_3459",1,0,0,0,0,0
"ASV_3502",1,0,0,0,0,0
"ASV_3750",1,0,0,0,2,2
"ASV_3836",1,0,0,0,0,0
"ASV_3895",2,0,0,0,0,0
"ASV_4090",1,0,0,0,0,0
"ASV_4203",2,0,0,0,0,0
"ASV_4436",1,0,0,0,0,0
"ASV_4492",1,0,0,0,0,0
"ASV_4580",1,0,0,0,0,0
"ASV_4675",1,1,0,0,0,0
"ASV_4696",1,1,0,0,0,1
"ASV_4724",1,0,0,0,0,0
"ASV_4845",3,0,0,2,0,0
"ASV_4938",1,0,0,0,0,0
"ASV_4952",1,2,0,7,1,0
"ASV_5007",8,0,0,0,0,0
"ASV_5025",1,0,0,0,0,0
"ASV_5028",1,0,0,0,0,0
"ASV_5051",3,0,0,0,0,0
"ASV_5352",1,0,0,0,0,0
"ASV_5486",7,0,1,15,0,5
"ASV_5496",2,0,0,0,0,0
"ASV_5512",1,0,0,1,0,0
"ASV_5559",3,0,3,10,1,10
"ASV_5697",1,0,1,0,2,0
"ASV_5740",1,0,1,0,11,0
"ASV_5741",1,0,0,0,0,0
"ASV_49",0,17,0,4,0,37
"ASV_80",0,6,0,0,1,0
"ASV_90",0,21,4,0,2,2
"ASV_124",0,1,0,0,0,0
"ASV_138",0,5,0,0,0,0
"ASV_140",0,1,0,0,0,7
"ASV_159",0,44,2,2,0,0
"ASV_162",0,16,0,0,0,5
"ASV_166",0,14,0,0,0,0
"ASV_168",0,5,0,0,2,0
"ASV_181",0,1,0,0,0,2
"ASV_182",0,8,1,0,1,2
"ASV_187",0,1,0,0,0,0
"ASV_189",0,2,1,0,0,0
"ASV_196",0,1,0,0,0,0
"ASV_199",0,4,0,0,0,0
"ASV_229",0,1,0,0,0,0
"ASV_230",0,7,0,0,0,0
"ASV_234",0,1,0,0,161,0
"ASV_259",0,2,0,0,0,0
"ASV_277",0,3,2,2,2,0
"ASV_287",0,2,0,0,0,0
"ASV_304",0,120,0,1,12,1
"ASV_306",0,1,0,0,0,1
"ASV_343",0,1,0,3,0,2
"ASV_355",0,1,0,0,0,0
"ASV_364",0,1,0,0,0,0
"ASV_369",0,2,0,0,0,0
"ASV_384",0,1,0,0,7,0
"ASV_391",0,1,0,0,0,0
"ASV_398",0,1,0,0,0,0
"ASV_402",0,5,0,1,0,0
"ASV_403",0,13,0,0,0,0
"ASV_407",0,8,0,80,0,0
"ASV_411",0,1,0,0,1,1
"ASV_435",0,6,0,0,0,0
"ASV_438",0,5,0,0,1,0
"ASV_457",0,2,0,0,9,0
"ASV_463",0,1,0,0,0,0
"ASV_481",0,1,0,0,1,0
"ASV_483",0,1,0,2,1,0
"ASV_485",0,65,0,0,0,0
"ASV_512",0,3,0,0,2,2
"ASV_518",0,1,1,0,0,0
"ASV_525",0,1,0,0,0,1
"ASV_530",0,2,0,0,0,0
"ASV_533",0,1,0,0,0,0
"ASV_567",0,5,0,0,0,0
"ASV_571",0,2,0,0,0,0
"ASV_576",0,3,0,0,0,1
"ASV_595",0,1,0,0,0,0
"ASV_630",0,1,0,0,0,0
"ASV_640",0,10,0,0,0,0
"ASV_643",0,4,0,0,0,0
"ASV_645",0,2,0,0,0,0
"ASV_649",0,21,0,0,7,0
"ASV_651",0,4,0,0,0,0
"ASV_663",0,2,1,0,0,0
"ASV_684",0,1,0,0,2,0
"ASV_686",0,24,0,0,2,0
"ASV_688",0,8,0,2,0,0
"ASV_691",0,1,0,0,0,0
"ASV_709",0,37,0,0,0,0
"ASV_722",0,4,0,0,0,0
"ASV_730",0,6,0,0,0,0
"ASV_731",0,3,0,4,0,3
"ASV_738",0,11,0,0,1,1
"ASV_748",0,6,0,0,0,0
"ASV_757",0,5,0,0,0,1
"ASV_802",0,1,0,0,0,0
"ASV_811",0,10,0,0,1,0
"ASV_833",0,2,0,0,0,0
"ASV_834",0,51,0,0,0,0
"ASV_842",0,1,1,0,0,0
"ASV_854",0,9,0,1,0,2
"ASV_859",0,1,0,0,0,0
"ASV_865",0,1,0,0,0,0
"ASV_878",0,2,0,1,0,0
"ASV_901",0,41,0,0,0,0
"ASV_919",0,2,0,0,0,0
"ASV_952",0,24,0,0,0,0
"ASV_996",0,19,0,0,0,1
"ASV_997",0,6,0,86,0,0
"ASV_998",0,2,0,1,0,0
"ASV_1001",0,1,0,0,0,0
"ASV_1025",0,121,0,0,0,0
"ASV_1047",0,1,0,0,0,15
"ASV_1052",0,5,0,0,0,4
"ASV_1054",0,6,0,0,0,0
"ASV_1074",0,20,0,0,2,0
"ASV_1079",0,1,0,0,1,0
"ASV_1093",0,13,0,0,0,0
"ASV_1127",0,16,0,0,0,0
"ASV_1135",0,2,0,0,0,0
"ASV_1138",0,3,0,0,0,0
"ASV_1162",0,1,1,0,0,1
"ASV_1167",0,4,1,0,0,1
"ASV_1168",0,2,0,0,0,0
"ASV_1186",0,3,0,0,0,0
"ASV_1207",0,10,0,0,0,0
"ASV_1216",0,30,0,35,2,0
"ASV_1221",0,20,0,0,0,0
"ASV_1233",0,1,0,0,0,1
"ASV_1235",0,1,0,0,0,1
"ASV_1241",0,1,0,0,0,1
"ASV_1249",0,13,0,0,0,0
"ASV_1322",0,5,0,0,0,0
"ASV_1331",0,4,0,0,0,0
"ASV_1338",0,16,1,2,0,0
"ASV_1357",0,5,0,0,0,1
"ASV_1371",0,31,0,0,0,0
"ASV_1401",0,6,0,0,0,1
"ASV_1428",0,2,0,0,0,0
"ASV_1434",0,1,0,0,0,0
"ASV_1450",0,4,0,0,0,0
"ASV_1488",0,1,0,0,0,0
"ASV_1518",0,9,0,0,0,0
"ASV_1534",0,8,0,0,2,0
"ASV_1545",0,2,0,0,0,0
"ASV_1554",0,2,0,0,0,0
"ASV_1559",0,2,0,0,0,0
"ASV_1577",0,1,0,0,0,0
"ASV_1586",0,31,0,0,0,0
"ASV_1595",0,1,0,0,0,3
"ASV_1613",0,10,0,0,0,0
"ASV_1618",0,2,0,0,0,0
"ASV_1622",0,80,0,0,0,0
"ASV_1645",0,1,0,0,0,0
"ASV_1650",0,5,0,0,0,0
"ASV_1670",0,4,0,0,0,0
"ASV_1686",0,2,0,0,0,0
"ASV_1716",0,2,0,0,0,0
"ASV_1731",0,2,0,0,0,0
"ASV_1739",0,71,0,1,0,0
"ASV_1741",0,40,0,0,0,0
"ASV_1767",0,3,0,0,0,0
"ASV_1770",0,2,0,0,0,0
"ASV_1775",0,2,0,1,0,0
"ASV_1776",0,4,0,0,0,0
"ASV_1786",0,1,0,0,0,0
"ASV_1826",0,1,0,0,0,0
"ASV_1835",0,1,2,1,0,0
"ASV_1868",0,11,0,0,0,0
"ASV_1879",0,9,0,0,0,1
"ASV_1939",0,4,0,0,0,0
"ASV_1944",0,2,0,1,0,0
"ASV_1950",0,4,0,0,0,0
"ASV_1961",0,1,0,0,0,0
"ASV_1966",0,23,0,0,0,0
"ASV_1967",0,1,0,0,0,0
"ASV_1978",0,1,0,1,0,0
"ASV_2006",0,3,0,0,0,1
"ASV_2020",0,232,0,2,0,50
"ASV_2026",0,14,0,0,0,0
"ASV_2037",0,1,0,0,0,0
"ASV_2041",0,1,0,0,11,0
"ASV_2083",0,4,0,0,0,0
"ASV_2096",0,2,0,0,0,0
"ASV_2103",0,1,0,0,0,0
"ASV_2133",0,2,0,0,0,1
"ASV_2136",0,1,0,0,0,0
"ASV_2140",0,2,0,3,0,1
"ASV_2171",0,3,0,0,0,0
"ASV_2202",0,8,0,0,0,0
"ASV_2213",0,1,0,0,0,0
"ASV_2237",0,7,0,0,0,0
"ASV_2265",0,1,0,0,0,0
"ASV_2272",0,1,0,0,1,0
"ASV_2292",0,3,0,8,0,5
"ASV_2305",0,1,0,0,0,0
"ASV_2312",0,4,0,1,0,0
"ASV_2317",0,3,0,0,0,0
"ASV_2360",0,3,0,0,0,0
"ASV_2371",0,1,0,0,0,0
"ASV_2380",0,1,0,0,0,0
"ASV_2388",0,1,0,0,0,0
"ASV_2391",0,27,0,0,0,0
"ASV_2407",0,2,0,0,0,0
"ASV_2416",0,1,0,0,0,0
"ASV_2423",0,1,0,0,0,0
"ASV_2426",0,4,0,0,0,0
"ASV_2446",0,9,0,0,0,0
"ASV_2453",0,1,0,0,0,0
"ASV_2458",0,1,0,0,1,0
"ASV_2460",0,6,0,0,0,0
"ASV_2504",0,23,0,0,0,0
"ASV_2514",0,6,0,0,0,0
"ASV_2546",0,1,0,0,0,0
"ASV_2557",0,26,0,0,0,0
"ASV_2568",0,2,0,0,0,0
"ASV_2571",0,1,0,0,0,0
"ASV_2608",0,1,0,0,0,0
"ASV_2616",0,1,0,0,0,0
"ASV_2638",0,2,0,0,0,0
"ASV_2644",0,1,0,0,0,0
"ASV_2646",0,2,0,0,0,0
"ASV_2673",0,1,0,0,0,0
"ASV_2693",0,1,0,0,0,0
"ASV_2706",0,2,0,0,0,0
"ASV_2707",0,1,0,0,0,0
"ASV_2712",0,3,0,0,0,2
"ASV_2715",0,2,0,0,0,0
"ASV_2750",0,3,0,0,0,0
"ASV_2759",0,2,0,0,0,1
"ASV_2762",0,1,1,0,0,0
"ASV_2808",0,1,0,0,0,0
"ASV_2843",0,4,0,0,0,0
"ASV_2868",0,1,0,0,0,0
"ASV_2898",0,1,0,0,0,1
"ASV_2924",0,3,0,0,0,0
"ASV_2937",0,1,0,0,0,0
"ASV_2953",0,5,0,0,0,0
"ASV_2963",0,2,0,0,0,0
"ASV_2971",0,1,0,0,0,0
"ASV_3001",0,1,0,0,0,0
"ASV_3010",0,1,0,2,0,0
"ASV_3049",0,1,0,0,0,0
"ASV_3056",0,9,0,0,1,4
"ASV_3057",0,1,0,0,0,0
"ASV_3106",0,8,0,0,0,0
"ASV_3110",0,10,0,0,0,0
"ASV_3112",0,10,0,0,0,0
"ASV_3131",0,10,0,0,0,1
"ASV_3133",0,8,0,0,0,0
"ASV_3140",0,11,0,0,0,0
"ASV_3164",0,2,0,0,0,0
"ASV_3166",0,4,0,0,0,0
"ASV_3175",0,18,0,1,0,0
"ASV_3188",0,5,0,1,0,0
"ASV_3214",0,2,0,0,0,0
"ASV_3225",0,1,0,0,0,0
"ASV_3274",0,1,0,0,0,1
"ASV_3284",0,7,0,0,0,0
"ASV_3292",0,5,0,0,0,0
"ASV_3305",0,9,1,0,0,0
"ASV_3307",0,1,0,0,0,0
"ASV_3352",0,1,0,0,0,0
"ASV_3391",0,3,0,0,0,0
"ASV_3410",0,1,0,0,0,0
"ASV_3411",0,7,0,0,0,0
"ASV_3422",0,1,0,0,0,0
"ASV_3447",0,1,0,0,0,0
"ASV_3500",0,2,0,0,0,0
"ASV_3506",0,8,0,0,0,0
"ASV_3517",0,1,0,0,0,0
"ASV_3530",0,1,0,0,0,0
"ASV_3536",0,1,0,0,0,0
"ASV_3565",0,10,0,0,0,0
"ASV_3577",0,1,0,0,0,0
"ASV_3580",0,1,0,0,0,0
