"","48hmc1","48hmc2","48hmc3","48hmc4","48hmc5","48hmc6"
"ASV_82",1,0,0,0,0,1
"ASV_92",3,6,2,2,0,5
"ASV_94",12,1,41,18,43,36
"ASV_109",1,1,0,0,1,1
"ASV_148",1,0,0,0,0,0
"ASV_205",1,0,2,0,0,0
"ASV_219",2,0,1,0,0,1
"ASV_275",1,0,0,3,0,0
"ASV_297",1,2,0,0,0,14
"ASV_320",2,0,0,0,0,0
"ASV_352",1,0,1,0,0,2
"ASV_366",2,2,1,5,0,0
"ASV_466",3,1,0,0,0,0
"ASV_509",1,0,1,0,0,0
"ASV_550",8,16,71,0,81,0
"ASV_641",2,1,0,0,0,0
"ASV_649",1,0,0,0,0,0
"ASV_727",1,0,0,0,0,0
"ASV_749",1,1,0,0,0,10
"ASV_753",15,7,12,10,1,8
"ASV_755",1,0,0,0,0,0
"ASV_761",1,0,0,0,0,5
"ASV_772",1,0,0,0,0,0
"ASV_911",1,0,0,0,0,0
"ASV_931",1,0,0,0,0,0
"ASV_968",4,0,12,0,7,2
"ASV_1095",4,6,20,0,20,0
"ASV_1134",5,1,0,1,0,0
"ASV_1180",1,0,0,0,0,0
"ASV_1208",1,0,0,0,0,1
"ASV_1213",1,1,0,0,0,0
"ASV_1274",1,0,0,0,0,0
"ASV_1504",14,0,0,0,0,0
"ASV_1532",1,0,0,0,0,0
"ASV_1587",3,0,0,0,0,0
"ASV_1721",1,0,0,0,0,0
"ASV_1985",2,0,0,0,0,0
"ASV_1998",1,0,0,0,0,0
"ASV_2222",1,0,0,0,0,0
"ASV_2257",1,0,3,4,0,0
"ASV_2265",1,0,0,0,0,0
"ASV_2289",1,0,0,0,0,0
"ASV_2360",1,0,0,0,0,0
"ASV_2462",1,0,0,0,0,0
"ASV_2474",1,0,0,0,0,0
"ASV_2561",2,1,4,0,0,0
"ASV_2685",1,0,0,0,7,0
"ASV_2699",2,0,0,0,0,0
"ASV_2780",2,0,0,0,0,0
"ASV_2831",1,0,0,0,0,0
"ASV_3220",1,0,0,0,1,0
"ASV_3380",6,0,3,0,5,0
"ASV_3391",1,0,0,0,0,0
"ASV_3459",3,0,0,0,0,0
"ASV_3804",14,0,0,0,44,2
"ASV_3928",1,0,1,0,0,0
"ASV_3944",7,4,3,6,6,3
"ASV_4037",1,0,0,0,0,0
"ASV_4132",3,0,0,15,1,1
"ASV_4510",1,0,1,0,1,0
"ASV_4618",1,0,1,8,0,0
"ASV_4770",3,0,0,0,0,0
"ASV_4886",11,2,1,0,27,1
"ASV_4952",1,0,1,0,2,1
"ASV_4954",4,5,3,1,0,2
"ASV_4972",1,0,0,4,0,0
"ASV_4981",2,0,0,0,0,0
"ASV_5007",2,0,0,0,0,1
"ASV_5320",2,0,0,2,0,0
"ASV_5454",1,0,0,0,0,0
"ASV_5503",1,0,0,2,0,1
"ASV_5559",1,5,0,0,0,4
"ASV_5560",1,0,0,1,0,0
"ASV_30",0,1,0,0,0,0
"ASV_90",0,1,0,0,0,0
"ASV_102",0,2,0,0,0,1
"ASV_104",0,1,0,0,0,0
"ASV_127",0,5,10,3,11,7
"ASV_136",0,8,0,3,0,3
"ASV_152",0,1,0,0,2,1
"ASV_163",0,2,0,0,0,0
"ASV_191",0,5,21,0,0,0
"ASV_195",0,2,1,0,0,0
"ASV_207",0,3,0,1,0,0
"ASV_210",0,1,4,0,0,0
"ASV_217",0,1,0,0,0,0
"ASV_282",0,1,0,3,0,17
"ASV_284",0,4,1,0,0,2
"ASV_295",0,3,0,0,0,0
"ASV_298",0,3,1,4,0,1
"ASV_317",0,1,0,0,0,0
"ASV_341",0,1,0,1,0,36
"ASV_375",0,6,0,0,0,37
"ASV_433",0,1,0,0,0,0
"ASV_577",0,1,0,0,0,0
"ASV_589",0,1,0,0,0,0
"ASV_599",0,1,0,0,0,0
"ASV_693",0,2,0,0,0,0
"ASV_779",0,1,0,0,0,0
"ASV_797",0,4,2,0,1,0
"ASV_801",0,1,0,0,2,2
"ASV_811",0,2,2,7,0,0
"ASV_952",0,3,0,0,0,0
"ASV_977",0,1,0,0,0,0
"ASV_991",0,1,0,0,0,0
"ASV_1005",0,1,1,0,0,0
"ASV_1061",0,1,0,0,0,1
"ASV_1167",0,1,0,0,0,0
"ASV_1174",0,3,0,3,0,0
"ASV_1220",0,1,0,0,0,2
"ASV_1235",0,1,0,0,0,0
"ASV_1249",0,1,0,0,1,0
"ASV_1263",0,1,0,2,0,0
"ASV_1267",0,1,0,0,0,0
"ASV_1275",0,1,0,0,0,0
"ASV_1296",0,1,0,0,0,0
"ASV_1338",0,1,0,0,0,0
"ASV_1432",0,6,0,0,1,0
"ASV_1546",0,3,0,0,0,0
"ASV_1617",0,1,0,0,0,0
"ASV_1638",0,1,0,0,0,0
"ASV_1696",0,3,0,0,0,0
"ASV_1735",0,2,0,0,0,0
"ASV_1739",0,7,0,0,0,0
"ASV_1867",0,1,5,0,7,0
"ASV_1869",0,1,2,0,0,0
"ASV_1964",0,1,3,0,0,1
"ASV_2000",0,1,0,0,0,0
"ASV_2020",0,1,0,0,0,8
"ASV_2026",0,4,0,0,0,0
"ASV_2063",0,4,2,0,0,2
"ASV_2070",0,1,0,0,0,0
"ASV_2190",0,1,0,0,0,0
"ASV_2251",0,1,0,0,0,0
"ASV_2264",0,1,0,0,1,1
"ASV_2311",0,4,0,0,0,0
"ASV_2331",0,1,0,0,0,0
"ASV_2332",0,1,0,0,0,0
"ASV_2440",0,1,0,0,0,0
"ASV_2529",0,2,0,0,0,0
"ASV_2557",0,1,0,0,0,0
"ASV_2558",0,2,0,0,0,0
"ASV_2580",0,1,0,0,0,0
"ASV_2585",0,1,0,0,0,0
"ASV_2854",0,3,0,0,0,0
"ASV_3022",0,1,0,0,0,0
"ASV_3031",0,1,0,0,0,0
"ASV_3110",0,1,0,0,0,0
"ASV_3176",0,2,0,0,0,0
"ASV_3215",0,1,0,0,0,0
"ASV_3263",0,1,0,0,0,0
"ASV_3305",0,2,0,0,0,0
"ASV_3504",0,2,0,0,0,0
"ASV_3565",0,1,0,0,0,0
"ASV_3863",0,1,0,0,0,0
"ASV_3874",0,1,0,0,0,0
"ASV_4005",0,1,0,0,0,0
"ASV_4019",0,1,0,0,0,0
"ASV_4064",0,1,0,0,0,0
"ASV_4200",0,6,0,0,0,0
"ASV_4255",0,1,0,0,0,0
"ASV_4276",0,4,0,0,0,0
"ASV_4394",0,1,0,1,0,0
"ASV_4466",0,1,0,0,0,0
"ASV_4495",0,1,0,0,0,0
"ASV_4546",0,5,0,0,0,0
"ASV_4560",0,1,1,0,0,0
"ASV_4612",0,1,0,3,0,0
"ASV_4626",0,1,0,3,0,0
"ASV_4767",0,1,0,0,0,0
"ASV_4989",0,3,0,0,0,0
"ASV_5084",0,1,1,1,1,1
"ASV_5330",0,1,1,0,0,0
"ASV_5463",0,1,0,0,0,0
"ASV_5613",0,3,1,1,3,4
"ASV_5665",0,1,1,0,0,0
"ASV_162",0,0,1,0,0,1
"ASV_260",0,0,2,2,2,0
"ASV_262",0,0,7,0,1,1
"ASV_306",0,0,1,1,0,1
"ASV_331",0,0,7,5,0,3
"ASV_526",0,0,1,0,0,0
"ASV_535",0,0,4,1,0,0
"ASV_555",0,0,1,6,2,0
"ASV_706",0,0,1,0,0,0
"ASV_861",0,0,5,0,0,0
"ASV_866",0,0,1,0,0,0
"ASV_908",0,0,3,0,0,0
"ASV_1316",0,0,3,0,0,0
"ASV_1329",0,0,5,0,0,0
"ASV_1377",0,0,1,1,0,7
"ASV_1393",0,0,1,2,0,0
"ASV_1513",0,0,3,2,0,0
"ASV_1583",0,0,2,0,0,0
"ASV_1625",0,0,1,1,0,0
"ASV_1790",0,0,1,0,0,0
"ASV_2181",0,0,4,0,1,0
"ASV_2239",0,0,3,0,0,0
"ASV_2274",0,0,1,0,0,0
"ASV_2312",0,0,1,0,0,0
"ASV_2353",0,0,1,0,0,0
"ASV_2497",0,0,1,0,2,1
"ASV_2671",0,0,1,0,0,0
"ASV_2762",0,0,1,0,0,0
"ASV_2918",0,0,1,0,0,0
"ASV_3063",0,0,4,0,0,0
"ASV_3151",0,0,2,0,0,0
"ASV_3425",0,0,1,0,1,0
"ASV_3517",0,0,3,0,0,0
"ASV_3631",0,0,1,0,0,0
"ASV_3825",0,0,1,0,0,0
"ASV_3943",0,0,1,0,0,0
"ASV_3961",0,0,1,0,0,0
"ASV_4026",0,0,1,0,0,1
"ASV_4111",0,0,1,0,0,0
"ASV_4209",0,0,1,0,0,0
"ASV_4540",0,0,1,0,10,0
"ASV_4723",0,0,2,0,0,0
"ASV_5062",0,0,1,0,2,0
"ASV_5362",0,0,1,0,0,3
"ASV_9",0,0,0,2,1,6
"ASV_70",0,0,0,1,0,0
"ASV_181",0,0,0,5,0,0
"ASV_237",0,0,0,3,0,0
"ASV_361",0,0,0,1,0,0
"ASV_365",0,0,0,4,2,0
"ASV_406",0,0,0,2,1,0
"ASV_499",0,0,0,1,0,0
"ASV_500",0,0,0,3,1,0
"ASV_531",0,0,0,4,0,0
"ASV_541",0,0,0,1,5,3
"ASV_590",0,0,0,1,0,0
"ASV_617",0,0,0,3,0,2
"ASV_662",0,0,0,3,0,0
"ASV_664",0,0,0,2,0,4
"ASV_682",0,0,0,1,0,0
"ASV_765",0,0,0,1,0,0
"ASV_953",0,0,0,1,0,3
"ASV_967",0,0,0,3,0,0
"ASV_983",0,0,0,1,1,2
"ASV_1054",0,0,0,1,0,0
"ASV_1075",0,0,0,1,0,0
"ASV_1158",0,0,0,3,0,0
"ASV_1194",0,0,0,2,0,0
"ASV_1205",0,0,0,1,0,0
"ASV_1315",0,0,0,1,0,0
"ASV_1326",0,0,0,1,0,0
"ASV_1438",0,0,0,2,0,0
"ASV_1446",0,0,0,1,1,3
"ASV_1518",0,0,0,2,0,0
"ASV_1680",0,0,0,2,0,0
"ASV_1732",0,0,0,1,0,0
"ASV_2027",0,0,0,1,0,1
"ASV_2477",0,0,0,1,0,0
"ASV_2560",0,0,0,1,0,0
"ASV_2657",0,0,0,3,0,0
"ASV_2948",0,0,0,1,0,0
"ASV_2992",0,0,0,4,0,1
"ASV_3502",0,0,0,1,0,0
"ASV_3509",0,0,0,3,0,0
"ASV_3525",0,0,0,1,0,0
"ASV_3816",0,0,0,1,0,0
"ASV_4048",0,0,0,1,0,0
"ASV_4062",0,0,0,1,1,6
"ASV_4213",0,0,0,1,0,0
"ASV_4238",0,0,0,2,34,1
"ASV_4300",0,0,0,2,0,0
"ASV_4341",0,0,0,1,0,0
"ASV_4406",0,0,0,4,0,0
"ASV_4539",0,0,0,4,0,0
"ASV_4690",0,0,0,2,1,0
"ASV_4874",0,0,0,1,0,0
"ASV_4930",0,0,0,1,0,0
"ASV_5258",0,0,0,1,0,0
"ASV_5277",0,0,0,2,0,0
"ASV_5341",0,0,0,2,0,0
"ASV_5497",0,0,0,2,0,0
"ASV_5639",0,0,0,1,0,0
"ASV_5692",0,0,0,1,3,0
"ASV_5757",0,0,0,3,2,2
"ASV_58",0,0,0,0,3,0
"ASV_66",0,0,0,0,4,0
"ASV_81",0,0,0,0,2,0
"ASV_107",0,0,0,0,29,0
"ASV_158",0,0,0,0,3,3
"ASV_185",0,0,0,0,7,0
"ASV_190",0,0,0,0,1,0
"ASV_232",0,0,0,0,2,0
"ASV_234",0,0,0,0,290,0
"ASV_247",0,0,0,0,5,0
"ASV_248",0,0,0,0,1,0
"ASV_304",0,0,0,0,12,0
"ASV_327",0,0,0,0,8,0
"ASV_378",0,0,0,0,3,0
"ASV_438",0,0,0,0,2,0
"ASV_457",0,0,0,0,11,0
"ASV_473",0,0,0,0,1,0
"ASV_498",0,0,0,0,12,0
"ASV_581",0,0,0,0,3,0
"ASV_612",0,0,0,0,7,0
"ASV_677",0,0,0,0,1,0
"ASV_776",0,0,0,0,75,0
"ASV_818",0,0,0,0,1,0
"ASV_819",0,0,0,0,34,0
"ASV_834",0,0,0,0,6,0
"ASV_882",0,0,0,0,1,0
"ASV_884",0,0,0,0,1,0
"ASV_898",0,0,0,0,1,0
"ASV_904",0,0,0,0,14,0
"ASV_934",0,0,0,0,1,0
"ASV_1074",0,0,0,0,4,0
"ASV_1110",0,0,0,0,2,0
"ASV_1141",0,0,0,0,6,0
"ASV_1221",0,0,0,0,1,0
"ASV_1242",0,0,0,0,30,0
"ASV_1245",0,0,0,0,2,0
"ASV_1279",0,0,0,0,1,0
"ASV_1383",0,0,0,0,7,2
"ASV_1433",0,0,0,0,5,0
"ASV_1666",0,0,0,0,12,0
"ASV_1824",0,0,0,0,1,0
"ASV_1881",0,0,0,0,1,0
"ASV_2075",0,0,0,0,1,2
"ASV_2083",0,0,0,0,1,0
"ASV_2089",0,0,0,0,5,0
"ASV_2151",0,0,0,0,3,0
"ASV_2164",0,0,0,0,1,0
"ASV_2237",0,0,0,0,3,0
"ASV_2275",0,0,0,0,4,0
"ASV_2362",0,0,0,0,1,0
"ASV_2421",0,0,0,0,13,0
"ASV_3001",0,0,0,0,2,0
"ASV_3032",0,0,0,0,1,1
"ASV_3070",0,0,0,0,1,0
"ASV_3143",0,0,0,0,1,0
"ASV_3214",0,0,0,0,2,0
"ASV_3256",0,0,0,0,1,1
"ASV_3686",0,0,0,0,1,0
"ASV_3798",0,0,0,0,1,0
"ASV_3868",0,0,0,0,1,0
"ASV_3953",0,0,0,0,1,0
"ASV_4051",0,0,0,0,1,0
"ASV_4082",0,0,0,0,2,0
"ASV_4117",0,0,0,0,1,0
"ASV_4443",0,0,0,0,15,0
"ASV_4472",0,0,0,0,15,0
"ASV_4490",0,0,0,0,1,0
"ASV_4545",0,0,0,0,1,0
"ASV_4735",0,0,0,0,20,0
"ASV_4992",0,0,0,0,1,0
"ASV_5124",0,0,0,0,1,0
"ASV_5198",0,0,0,0,2,0
"ASV_5268",0,0,0,0,6,0
"ASV_5476",0,0,0,0,4,0
"ASV_5593",0,0,0,0,1,0
"ASV_5637",0,0,0,0,1,0
"ASV_5647",0,0,0,0,1,0
"ASV_5680",0,0,0,0,2,0
"ASV_140",0,0,0,0,0,3
"ASV_337",0,0,0,0,0,4
"ASV_373",0,0,0,0,0,3
"ASV_482",0,0,0,0,0,1
"ASV_527",0,0,0,0,0,1
"ASV_596",0,0,0,0,0,1
"ASV_610",0,0,0,0,0,1
"ASV_674",0,0,0,0,0,1
"ASV_760",0,0,0,0,0,5
"ASV_767",0,0,0,0,0,1
"ASV_790",0,0,0,0,0,1
"ASV_998",0,0,0,0,0,1
"ASV_1047",0,0,0,0,0,1
"ASV_1078",0,0,0,0,0,1
"ASV_1093",0,0,0,0,0,1
"ASV_1255",0,0,0,0,0,1
"ASV_1324",0,0,0,0,0,2
"ASV_1545",0,0,0,0,0,1
"ASV_1552",0,0,0,0,0,2
"ASV_1586",0,0,0,0,0,1
"ASV_1760",0,0,0,0,0,1
"ASV_1775",0,0,0,0,0,3
"ASV_1827",0,0,0,0,0,1
"ASV_1845",0,0,0,0,0,13
"ASV_1862",0,0,0,0,0,2
"ASV_2122",0,0,0,0,0,1
"ASV_2154",0,0,0,0,0,3
"ASV_2481",0,0,0,0,0,3
"ASV_2633",0,0,0,0,0,1
"ASV_2789",0,0,0,0,0,2
"ASV_3079",0,0,0,0,0,1
"ASV_3094",0,0,0,0,0,3
"ASV_3400",0,0,0,0,0,1
"ASV_3410",0,0,0,0,0,1
"ASV_3618",0,0,0,0,0,2
"ASV_3632",0,0,0,0,0,1
"ASV_3934",0,0,0,0,0,1
"ASV_3956",0,0,0,0,0,2
"ASV_4035",0,0,0,0,0,2
"ASV_4308",0,0,0,0,0,1
"ASV_4360",0,0,0,0,0,1
"ASV_4759",0,0,0,0,0,1
"ASV_5202",0,0,0,0,0,2
"ASV_5210",0,0,0,0,0,1
"ASV_5311",0,0,0,0,0,1
"ASV_5365",0,0,0,0,0,1
"ASV_5481",0,0,0,0,0,1
"ASV_5551",0,0,0,0,0,2
